biped forward falls SM,0.140625,0.1919642857,0.3459821429,0.4802827381,0.8459821429,0.9821428571,1,0.9598214286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9129464286,0.9631696429,0.9698660714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9676339286,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped forward falls SM,0.154389881,0.2726934524,0.4017857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ours,0.8524925595,0.767671131,0.6261160714,0.259858631,0.0770089286,0.0089285714,0,0.0200892857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435267857,0.0184151786,0.0150669643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161830357,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped falls ICM,0.04780505952,0.04538690476,0.04389880952,0.06138392857,0.05505952381,0.05078125,0.05654761905,0.06026785714,0.0587797619,0.05822172619,0.0584077381,0.0584077381,0.05561755952,0.05561755952,0.05654761905,0.06677827381,0.05617559524,0.06380208333,0.06026785714,0.05580357143,0.05970982143,0.07421875,0.05580357143,0.07273065476,0.05970982143,0.05822172619,0.05561755952,0.05859375,0.06212797619,0.05970982143,0.0623139881,0.05673363095,0.05543154762,0.08891369048,0.05859375,0.06343005952,0.07533482143,0.0935639881,0.06510416667,0.06808035714,0.07068452381,0.07366071429,0.06101190476,0.07180059524,0.0587797619,0.06770833333,0.07254464286,0.05617559524,0.06436011905,0.06008184524,0.06026785714,0.05970982143,0.05803571429,0.06305803571,0.07124255952,0.07645089286,0.06863839286,0.0626860119,0.05654761905,0.0665922619,0.06715029762,0.06175595238,0.06752232143,0.06212797619,0.07087053571,0.06956845238,0.06919642857,0.09430803571,0.07607886905,0.0625,0.05915178571,0.06398809524,0.06063988095,0.06398809524,0.06677827381,0.05803571429,0.06101190476,0.06547619048,0.0665922619,0.07087053571,0.05989583333,0.06919642857,0.05915178571,0.07291666667,0.06305803571,0.06324404762,0.0626860119,0.05729166667,0.06008184524,0.07366071429,0.06008184524,0.05784970238,0.05598958333,0.06770833333,0.0587797619,0.05859375,0.06324404762,0.05989583333,0.05896577381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped falls ICM,0.06696428571,0.06287202381,0.06417410714,0.07273065476,0.06696428571,0.06994047619,0.06752232143,0.06026785714,0.05208333333,0.05301339286,0.05431547619,0.05357142857,0.05357142857,0.05357142857,0.05133928571,0.05282738095,0.05375744048,0.05245535714,0.05654761905,0.05319940476,0.05431547619,0.05319940476,0.07254464286,0.05282738095,0.05338541667,0.05226934524,0.05431547619,0.05264136905,0.05245535714,0.05226934524,0.05766369048,0.05282738095,0.05245535714,0.05078125,0.05152529762,0.05394345238,0.05189732143,0.05357142857,0.05859375,0.05357142857,0.05636160714,0.08835565476,0.06101190476,0.05245535714,0.0548735119,0.05282738095,0.06045386905,0.05543154762,0.05264136905,0.05394345238,0.07347470238,0.06119791667,0.06938244048,0.05636160714,0.05766369048,0.06398809524,0.05357142857,0.06324404762,0.06845238095,0.05394345238,0.06156994048,0.05729166667,0.05915178571,0.06119791667,0.05505952381,0.05524553571,0.05040922619,0.05394345238,0.06045386905,0.05338541667,0.05264136905,0.05598958333,0.05152529762,0.06026785714,0.05673363095,0.07105654762,0.0545014881,0.05115327381,0.06119791667,0.05208333333,0.05803571429,0.07905505952,0.05226934524,0.06101190476,0.05729166667,0.1080729167,0.05654761905,0.05784970238,0.05598958333,0.05282738095,0.05189732143,0.05394345238,0.05208333333,0.05282738095,0.06510416667,0.05375744048,0.05859375,0.06417410714,0.05394345238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biped falls ICM,0.0509672619,0.05784970238,0.05133928571,0.05264136905,0.05859375,0.07366071429,0.06584821429,0.06529017857,0.0701264881,0.0744047619,0.07775297619,0.07366071429,0.07868303571,0.07775297619,0.07607886905,0.07849702381,0.07738095238,0.07514880952,0.07254464286,0.07366071429,0.07180059524,0.06789434524,0.07496279762,0.0740327381,0.07719494048,0.07775297619,0.08407738095,0.07905505952,0.08091517857,0.08277529762,0.08649553571,0.08426339286,0.08147321429,0.07719494048,0.08463541667,0.08519345238,0.08203125,0.08203125,0.08686755952,0.08556547619,0.08556547619,0.0779389881,0.08779761905,0.09077380952,0.09021577381,0.0935639881,0.08258928571,0.09281994048,0.08891369048,0.08984375,0.08519345238,0.08147321429,0.08426339286,0.08556547619,0.08816964286,0.08277529762,0.09281994048,0.09840029762,0.08240327381,0.08351934524,0.08537946429,0.08779761905,0.0861235119,0.08333333333,0.09151785714,0.0783110119,0.1052827381,0.08556547619,0.09430803571,0.07310267857,0.06696428571,0.07273065476,0.06566220238,0.06194196429,0.06436011905,0.06305803571,0.06119791667,0.0662202381,0.06603422619,0.05970982143,0.06305803571,0.06305803571,0.06008184524,0.06138392857,0.06026785714,0.06119791667,0.06343005952,0.06082589286,0.06156994048,0.06380208333,0.0625,0.06212797619,0.06175595238,0.0625,0.06380208333,0.06510416667,0.05580357143,0.06696428571,0.06082589286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fallen ICM,0.9447544643,0.9446304563,0.9468625992,0.9377480159,0.9397941468,0.9352058532,0.9366939484,0.9380580357,0.9396701389,0.9381200397,0.9365079365,0.9381200397,0.9373759921,0.9376860119,0.9386780754,0.9339657738,0.937562004,0.9361979167,0.9368799603,0.9391121032,0.9380580357,0.9348958333,0.9322296627,0.9334697421,0.9365699405,0.9372519841,0.9353298611,0.9365699405,0.9348338294,0.9350818452,0.9311755952,0.9353918651,0.9368799603,0.927703373,0.9350818452,0.9324776786,0.9302455357,0.9236111111,0.9298115079,0.9309275794,0.9291294643,0.920014881,0.9300595238,0.9283234127,0.9320436508,0.9286334325,0.9281374008,0.9318576389,0.9313616071,0.9320436508,0.9270213294,0.9325396825,0.9294394841,0.931671627,0.927641369,0.9255952381,0.9283234127,0.9252232143,0.9308655754,0.9319816468,0.9286334325,0.9310515873,0.9290674603,0.9311135913,0.9275173611,0.9322916667,0.9250372024,0.9220610119,0.9230530754,0.9370039683,0.9404141865,0.9357638889,0.9407242063,0.9379340278,0.9373759921,0.9359499008,0.9410962302,0.9390500992,0.9353918651,0.9391121032,0.9396701389,0.9295634921,0.9428323413,0.9348958333,0.9397941468,0.9224950397,0.9391121032,0.941344246,0.9407862103,0.9365699405,0.9418402778,0.9420262897,0.943390377,0.9389880952,0.937437996,0.9408482143,0.9407862103,0.9363219246,0.9420882937,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
